epoch;acc;auc;loss;lr
0;0.5929060862555421;0.93459000575291;0.8762188783724045;0.001
1;0.6724439070667773;0.9309944091473602;0.6208174800409931;0.001
2;0.7076447668390121;0.9284405475836455;0.5797554743189045;0.001
3;0.7213489183747895;0.9261623545550185;0.5697341943266058;0.001
4;0.7333064623838724;0.9240753814351826;0.5499899085132117;0.001
5;0.7461373102964453;0.9222029514503658;0.5344793517895801;0.001
6;0.7521160822569419;0.9205678631970114;0.5219140868064907;0.001
7;0.7550718796024172;0.919024466243015;0.5164519562990967;0.001
8;0.7644766895789926;0.9176325213199628;0.5061537325422273;0.001
9;0.7676340185168865;0.9163585397627955;0.4968197580732743;0.001
10;0.7732769044019291;0.9152083536493639;0.48423666812616634;0.001
11;0.7813381700686801;0.9142137470463824;0.48070287487446967;0.001
12;0.7800618030444182;0.9132514654204648;0.47274229004548696;0.001
13;0.786376461080369;0.9124607931826042;0.45677937687556464;0.001
14;0.785301625664542;0.9117550292947865;0.4560634397569882;0.001
15;0.7953782077359686;0.9111440342615869;0.44137270165421894;0.001
16;0.8033722960931327;0.9106544482040098;0.4306381893913928;0.001
17;0.8027677012197788;0.910209608121247;0.4336157717540446;0.001
18;0.8114335617118348;0.909866827238668;0.4133807601995018;0.001
19;0.8089480049008245;0.9095774115645467;0.42117786266327095;0.001
20;0.8124412199061644;0.9093162477633077;0.40885105231396696;0.001
21;0.8216444982102397;0.9091703877019158;0.3925894866078736;0.001
22;0.8277576246297473;0.9091053682758685;0.3873335327410048;0.001
23;0.8233239285955182;0.9090882539108494;0.38363061929988745;0.001
24;0.8331318016608332;0.909100482320651;0.3748758304896701;0.001
25;0.8385059788440739;0.9091675185266721;0.37175153246509535;0.001
26;0.8350799409000684;0.9092655931367327;0.3711372165330456;0.001
27;0.835348649802074;0.9093770162482328;0.3652975689427084;0.001
28;0.8437458014882221;0.9095720051037405;0.3427085938047501;0.001
29;0.8504635227410428;0.9098383569355439;0.345024143664103;0.001
30;0.8499932822546267;0.9101141376808;0.33649202285755647;0.001
31;0.8540910922614506;0.9104352243385792;0.3282266440257644;0.001
32;0.8569125353321022;0.9107606542554094;0.33480058806038315;0.001
33;0.8577186618459236;0.9111100067282563;0.3202219042713309;0.001
34;0.8628913072845908;0.9115256728879966;0.3070281962025122;0.001
35;0.8585247884558427;0.9119331411227541;0.31957650868527177;0.001
36;0.8693403197635362;0.9123519697000979;0.3005585546735296;0.001
37;0.8664516996555746;0.9127924225670859;0.3104083823525872;0.001
38;0.8690716109736446;0.9132336320919359;0.29636227796270886;0.001
39;0.8763939271799006;0.9137226177866735;0.2793840063328178;0.001
40;0.8770656992747516;0.9142495194830658;0.28922101107917614;0.001
41;0.8776702941961544;0.914741235828105;0.2843223037790038;0.001
42;0.8820368131690491;0.915276287792992;0.2678956804669674;0.001
